PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;0.7;4;4;100%;12;14;86%
01Max;0.8;4;4;100%;11;14;79%
01Max;0.9;4;4;100%;10;14;71%
01Max;1.0;4;4;100%;11;14;79%
01Max;1.0;4;4;100%;11;14;79%
01Max;0.6;4;4;100%;11;14;79%
01Max;0.4;4;4;100%;11;14;79%
01Max;0.4;4;4;100%;12;14;86%
01Max;0.3;4;4;100%;11;14;79%
01Max;0.1;4;4;100%;11;14;79%
02MaxMin;0.7;7;8;88%;17;21;81%
02MaxMin;0.7;8;8;100%;17;21;81%
02MaxMin;0.9;7;8;88%;18;21;86%
02MaxMin;0.9;7;8;88%;18;21;86%
02MaxMin;0.9;8;8;100%;18;21;86%
02MaxMin;1.0;8;8;100%;15;21;71%
02MaxMin;1.0;7;8;88%;17;21;81%
02MaxMin;0.6;8;8;100%;18;21;86%
02MaxMin;0.6;7;8;88%;18;21;86%
02MaxMin;0.5;8;8;100%;18;21;86%
02MaxMin;0.5;8;8;100%;15;21;71%
02MaxMin;0.4;8;8;100%;15;21;71%
02MaxMin;0.4;8;8;100%;18;21;86%
02MaxMin;0.4;8;8;100%;18;21;86%
02MaxMin;0.3;8;8;100%;18;21;86%
02MaxMin;0.3;8;8;100%;15;21;71%
02MaxMin;0.3;8;8;100%;17;21;81%
02MaxMin;0.2;7;8;88%;18;21;86%
02MaxMin;0.2;8;8;100%;18;21;86%
02MaxMin;0.1;8;8;100%;18;21;86%
02MaxMin;0.0;8;8;100%;18;21;86%
02MaxMin;0.0;8;8;100%;18;21;86%
03MaxMin;0.7;8;8;100%;14;21;67%
03MaxMin;0.7;8;8;100%;18;21;86%
03MaxMin;0.7;8;8;100%;18;21;86%
03MaxMin;0.8;7;8;88%;18;21;86%
03MaxMin;0.8;7;8;88%;18;21;86%
03MaxMin;0.9;7;8;88%;18;21;86%
03MaxMin;0.9;8;8;100%;17;21;81%
03MaxMin;1.0;7;8;88%;17;21;81%
03MaxMin;1.0;8;8;100%;15;21;71%
03MaxMin;0.6;7;8;88%;17;21;81%
03MaxMin;0.6;8;8;100%;17;21;81%
03MaxMin;0.6;7;8;88%;17;21;81%
03MaxMin;0.5;7;8;88%;17;21;81%
03MaxMin;0.5;7;8;88%;17;21;81%
03MaxMin;0.4;8;8;100%;18;21;86%
03MaxMin;0.4;8;8;100%;16;21;76%
03MaxMin;0.3;8;8;100%;18;21;86%
03MaxMin;0.3;8;8;100%;18;21;86%
03MaxMin;0.2;8;8;100%;18;21;86%
03MaxMin;0.2;8;8;100%;18;21;86%
03MaxMin;0.2;8;8;100%;18;21;86%
03MaxMin;0.1;8;8;100%;18;21;86%
03MaxMin;0.1;8;8;100%;18;21;86%
03MaxMin;0.1;8;8;100%;18;21;86%
03MaxMin;0.0;8;8;100%;18;21;86%
03MaxMin;0.0;8;8;100%;18;21;86%
03MaxMin;0.0;8;8;100%;18;21;86%
04MaxMin;1.0;16;16;100%;40;62;65%
05Ordenacao;0.7;10;10;100%;9;20;45%
05Ordenacao;0.7;10;10;100%;16;20;80%
05Ordenacao;0.7;10;10;100%;16;20;80%
05Ordenacao;0.8;10;10;100%;16;20;80%
05Ordenacao;0.8;10;10;100%;16;20;80%
05Ordenacao;0.8;9;10;90%;16;20;80%
05Ordenacao;0.9;10;10;100%;16;20;80%
05Ordenacao;0.9;2;10;20%;3;20;15%
05Ordenacao;0.9;10;10;100%;16;20;80%
05Ordenacao;1.0;10;10;100%;16;20;80%
05Ordenacao;1.0;10;10;100%;16;20;80%
05Ordenacao;1.0;10;10;100%;16;20;80%
05Ordenacao;0.6;10;10;100%;16;20;80%
05Ordenacao;0.6;10;10;100%;16;20;80%
05Ordenacao;0.6;9;10;90%;16;20;80%
05Ordenacao;0.5;10;10;100%;16;20;80%
05Ordenacao;0.5;10;10;100%;16;20;80%
05Ordenacao;0.5;10;10;100%;16;20;80%
05Ordenacao;0.4;10;10;100%;16;20;80%
05Ordenacao;0.4;10;10;100%;16;20;80%
05Ordenacao;0.4;10;10;100%;16;20;80%
05Ordenacao;0.3;10;10;100%;9;20;45%
05Ordenacao;0.3;10;10;100%;16;20;80%
05Ordenacao;0.3;10;10;100%;16;20;80%
05Ordenacao;0.2;10;10;100%;16;20;80%
05Ordenacao;0.2;10;10;100%;16;20;80%
05Ordenacao;0.2;10;10;100%;16;20;80%
05Ordenacao;0.1;10;10;100%;16;20;80%
05Ordenacao;0.1;10;10;100%;16;20;80%
05Ordenacao;0.1;10;10;100%;16;20;80%
05Ordenacao;0.0;10;10;100%;16;20;80%
05Ordenacao;0.0;10;10;100%;16;20;80%
05Ordenacao;0.0;10;10;100%;16;20;80%
06Fibonacci;0.7;6;6;100%;12;12;100%
06Fibonacci;0.7;5;6;83%;12;12;100%
06Fibonacci;0.8;5;6;83%;12;12;100%
06Fibonacci;0.8;5;6;83%;12;12;100%
06Fibonacci;0.9;5;6;83%;12;12;100%
06Fibonacci;0.9;5;6;83%;12;12;100%
06Fibonacci;0.9;5;6;83%;12;12;100%
06Fibonacci;1.0;5;6;83%;12;12;100%
06Fibonacci;1.0;5;6;83%;12;12;100%
06Fibonacci;0.6;5;6;83%;12;12;100%
06Fibonacci;0.6;5;6;83%;12;12;100%
06Fibonacci;0.5;5;6;83%;12;12;100%
06Fibonacci;0.5;5;6;83%;12;12;100%
06Fibonacci;0.4;5;6;83%;12;12;100%
06Fibonacci;0.2;5;6;83%;12;12;100%
07Fibonacci;0.8;5;6;83%;12;12;100%
07Fibonacci;0.8;5;6;83%;12;12;100%
07Fibonacci;0.8;5;6;83%;12;12;100%
07Fibonacci;0.9;5;6;83%;12;12;100%
07Fibonacci;1.0;5;6;83%;12;12;100%
07Fibonacci;1.0;5;6;83%;12;12;100%
07Fibonacci;0.6;5;6;83%;12;12;100%
07Fibonacci;0.6;5;6;83%;12;12;100%
07Fibonacci;0.5;5;6;83%;12;12;100%
07Fibonacci;0.4;5;6;83%;12;12;100%
07Fibonacci;0.4;5;6;83%;12;12;100%
07Fibonacci;0.3;5;6;83%;12;12;100%
08MaxMin;0.7;13;13;100%;34;42;81%
08MaxMin;0.7;13;13;100%;25;42;60%
08MaxMin;0.8;13;13;100%;34;42;81%
08MaxMin;0.8;13;13;100%;26;42;62%
08MaxMin;0.8;13;13;100%;26;42;62%
08MaxMin;0.9;13;13;100%;25;42;60%
08MaxMin;0.9;13;13;100%;26;42;62%
08MaxMin;1.0;13;13;100%;26;42;62%
08MaxMin;1.0;13;13;100%;26;42;62%
08MaxMin;1.0;12;13;92%;35;42;83%
08MaxMin;0.6;13;13;100%;25;42;60%
08MaxMin;0.6;13;13;100%;27;42;64%
08MaxMin;0.6;13;13;100%;28;42;67%
08MaxMin;0.5;13;13;100%;25;42;60%
08MaxMin;0.5;13;13;100%;27;42;64%
08MaxMin;0.4;13;13;100%;26;42;62%
08MaxMin;0.4;13;13;100%;25;42;60%
08MaxMin;0.3;13;13;100%;26;42;62%
08MaxMin;0.3;13;13;100%;25;42;60%
08MaxMin;0.3;13;13;100%;25;42;60%
08MaxMin;0.2;13;13;100%;25;42;60%
08MaxMin;0.2;13;13;100%;25;42;60%
08MaxMin;0.2;13;13;100%;25;42;60%
08MaxMin;0.1;13;13;100%;25;42;60%
08MaxMin;0.1;13;13;100%;25;42;60%
08MaxMin;0.1;13;13;100%;25;42;60%
08MaxMin;0.0;13;13;100%;25;42;60%
08MaxMin;0.0;13;13;100%;25;42;60%
08MaxMin;0.0;13;13;100%;25;42;60%
09Ordenacao;0.7;16;16;100%;51;56;91%
09Ordenacao;0.7;16;16;100%;52;56;93%
09Ordenacao;0.7;15;16;94%;54;56;96%
09Ordenacao;0.8;16;16;100%;47;56;84%
09Ordenacao;0.8;15;16;94%;52;56;93%
09Ordenacao;0.8;16;16;100%;54;56;96%
09Ordenacao;0.9;16;16;100%;54;56;96%
09Ordenacao;0.9;15;16;94%;54;56;96%
09Ordenacao;0.9;16;16;100%;54;56;96%
09Ordenacao;1.0;16;16;100%;50;56;89%
09Ordenacao;1.0;15;16;94%;54;56;96%
09Ordenacao;1.0;16;16;100%;51;56;91%
09Ordenacao;0.6;16;16;100%;54;56;96%
09Ordenacao;0.6;16;16;100%;54;56;96%
09Ordenacao;0.6;16;16;100%;54;56;96%
09Ordenacao;0.5;16;16;100%;54;56;96%
09Ordenacao;0.5;16;16;100%;54;56;96%
